fundamento = Ecuacion de raices
metodo = Biseccion

f(x) = log(x/3)-x
Xi = 1.5
Xf = 20.1
errto = 0.0001
imax = 20

Numero de
Iteracion            Xi              Xf   |            Raiz               Error      Tolerancia           f(Raiz)
1               1.5              20.1  |            10.8                   100    0.0001        -9.5190661545379
2              10.8              20.1  |           15.45       30.097087378641    0.0001        -13.811003285324
3             15.45              20.1  |          17.775       13.080168776371    0.0001        -15.995819312979
4            17.775              20.1  |         18.9375       6.1386138613861    0.0001        -17.094968205399
5           18.9375              20.1  |        19.51875       2.9779058597502    0.0001        -17.645986746619
6          19.51875              20.1  |       19.809375       1.4671083767156    0.0001        -17.921831978178
7         19.809375              20.1  |      19.9546875      0.72821235611933    0.0001        -18.059835710526
8        19.9546875              20.1  |     20.02734375      0.36278525453481    0.0001        -18.128857511364
9       20.02734375              20.1  |    20.063671875      0.18106419017581    0.0001        -18.163373353269
10      20.063671875              20.1  |   20.0818359375     0.090450208619031    0.0001        -18.180632504374
11     20.0818359375              20.1  |  20.09091796875     0.045204660454668    0.0001        -18.189262386815
12    20.09091796875              20.1  | 20.095458984375     0.022597222728431    0.0001        -18.193577404677
13   20.095458984375              20.1  | 20.097729492188     0.011297334922252    0.0001        -18.195734932759
14   20.097729492188              20.1  | 20.098864746094    0.0056483484047078    0.0001        -18.196813701586
15   20.098864746094              20.1  | 20.099432373047    0.0028240944450027    0.0001        -18.197353087196
16   20.099432373047              20.1  | 20.099716186523    0.0014120272840093    0.0001          -18.1976227803
17   20.099716186523              20.1  | 20.099858093262   0.00070600865749163    0.0001        -18.197757626926
18   20.099858093262              20.1  | 20.099929046631   0.00035300308262965    0.0001        -18.197825050259
19   20.099929046631              20.1  | 20.099964523315   0.00017650122978302    0.0001        -18.197858761929
20   20.099964523315              20.1  | 20.099982261658   8.8250537009867e-05    0.0001        -18.197875617766

La raíz aproximada es: 20.099982261658

