fundamento = Ecuacion de raices
metodo = Brent

f(x) = x*log(x/3)-x
Xi = 1.5
Xf = 20.1
errto = 1e-05
imax = 25


Numero de
Iteracion      Xi-2(xi)           Xi-1(x)            Xi(xf) |            Raiz               Error      Tolerancia           f(Raiz)
   1              20.1               1.5               1.5  |            10.8                   100     1e-05         3.0340855309903
   2              10.8               1.5               1.5  |            6.15       75.609756097561     1e-05        -1.7352852721256
   3              10.8               1.5              6.15  |           8.475       27.433628318584     1e-05        0.32635838997148
   4              6.15              6.15             8.475  |          7.3125       15.897435897436     1e-05       -0.79726049405536
   5            7.3125             8.475             8.475  |         7.89375       7.3634204275534     1e-05       -0.25687037312172
   6             8.475             8.475           7.89375  |        8.184375       3.5509736540664     1e-05       0.029582914875091
   7           7.89375           7.89375          8.184375  |       8.0390625       1.8075801749271     1e-05       -0.11495712062136
   8         8.0390625          8.184375          8.184375  |      8.11171875      0.89569488587115     1e-05      -0.043012496381861
   9        8.11171875          8.184375          8.184375  |     8.148046875      0.44585071192292     1e-05     -0.0067957756236616
  10          8.184375          8.184375       8.148046875  |    8.1662109375      0.22242950419744     1e-05       0.011373368491974
  11      8.1662109375       8.148046875       8.148046875  |   8.15712890625      0.11133857702115     1e-05      0.0022837405309328
  12       8.148046875       8.148046875     8.15712890625  |  8.152587890625     0.055700296469316     1e-05     -0.0022572822260134
  13     8.15712890625     8.15712890625    8.152587890625  | 8.1548583984375     0.027842394086622     1e-05     1.2913070587928e-05
  14    8.152587890625    8.152587890625   8.1548583984375  | 8.1537231445313     0.013923135310401     1e-05      -0.001122263609183
  15   8.1537231445313   8.1548583984375   8.1548583984375  | 8.1542907714844    0.0069610830546942     1e-05    -0.00055469502578731
  16   8.1542907714844   8.1548583984375   8.1548583984375  | 8.1545745849609    0.0034804203898701     1e-05    -0.00027089591655205
  17   8.1545745849609   8.1548583984375   8.1548583984375  | 8.1547164916992    0.0017401799121359     1e-05    -0.00012899265770017
  18   8.1547164916992   8.1548583984375   8.1548583984375  | 8.1547874450684    0.0008700823855794     1e-05    -5.8040102230095e-05
  19   8.1547874450684   8.1548583984375   8.1548583984375  | 8.1548229217529   0.00043503930020043     1e-05    -2.2563592988689e-05
  20   8.1548229217529   8.1548583984375   8.1548583984375  | 8.1548406600952   0.00021751917694237     1e-05    -4.8252804933924e-06
  21   8.1548583984375   8.1548583984375   8.1548406600952  | 8.1548495292664   0.00010875947017394     1e-05      4.043890225347e-06
  22   8.1548406600952   8.1548406600952   8.1548495292664  | 8.1548450946808   5.4379764647652e-05     1e-05    -3.9069634105715e-07
  23   8.1548495292664   8.1548495292664   8.1548450946808  | 8.1548473119736   2.7189874930931e-05     1e-05     1.8265966410524e-06
  24   8.1548473119736   8.1548450946808   8.1548450946808  | 8.1548462033272   1.3594939313689e-05     1e-05     7.1795007450248e-07
  25   8.1548462033272   8.1548450946808   8.1548450946808  |  8.154845649004    6.797470108009e-06     1e-05      1.636268489591e-07

La raíz aproximada es: 8.154845649004

