fundamento = Ecuacion de raices
metodo = Secante

f(x) = x*log(x/3)-x
Xi = 2.5
Xf = 20.1
errto = 1e-05
imax = 20


Numero de
Iteracion             Xi                Xf  |            Raiz               Error    Tolerancia           f(Raiz)
1                 2.5              20.1  | 4.9668883268525                   100     1e-05        -2.4626762911446
2                20.1   4.9668883268525  | 6.7764482851152       26.703663661648     1e-05        -1.2547215788285
3     4.9668883268525   6.7764482851152  | 8.6560667051327       21.714463208826     1e-05        0.51631827553485
4     6.7764482851152   8.6560667051327  | 8.1080940895555       6.7583406103177     1e-05      -0.046617127069506
5     8.6560667051327   8.1080940895555  | 8.1534721363665      0.55654874453599     1e-05     -0.0013732333620116
6     8.1080940895555   8.1534721363665  | 8.1548494415159     0.016889400096393     1e-05     3.9561397535692e-06
7     8.1534721363665   8.1548494415159  |  8.154845485044   4.8516823198001e-05     1e-05    -3.3316993608423e-10
8     8.1548494415159    8.154845485044  | 8.1548454853771   4.0855456633931e-09     1e-05    -1.7763568394003e-15

La raíz aproximada es: 8.1548454853771

